监测点编码,监测点名称,城市,经度,纬度,省份
1091A,小召,呼和浩特,111.658,40.8033,内蒙古
1092A,兴松小区,呼和浩特,111.659,40.8452,内蒙古
1093A,糖厂,呼和浩特,111.608,40.8144,内蒙古
1094A,如意水处理厂,呼和浩特,111.751,40.8369,内蒙古
1095A,二十九中,呼和浩特,111.7277,40.8062,内蒙古
1096A,工大金川校区,呼和浩特,111.551,40.7866,内蒙古
1097A,化肥厂生活区,呼和浩特,111.717,40.7612,内蒙古
1098A,森林路,沈阳,123.6836,41.9339,辽宁
1099A,浑南东路,沈阳,123.535,41.7561,辽宁
1100A,新秀街,沈阳,123.439,41.7089,辽宁
1101A,沧海路,沈阳,123.284,41.7694,辽宁
1102A,东陵路,沈阳,123.542,41.8336,辽宁
1103A,陵东街,沈阳,123.428,41.8472,辽宁
1104A,文化路,沈阳,123.41,41.765,辽宁
1105A,小河沿,沈阳,123.478,41.7775,辽宁
1106A,太原街,沈阳,123.3997,41.7972,辽宁
1107A,南十东路,沈阳,123.3606,41.7806,辽宁
1108A,京沈街,沈阳,123.3783,41.9228,辽宁
1109A,甘井子,大连,121.61194444,38.973888889,辽宁
1110A,周水子,大连,121.565,38.951111111,辽宁
1111A,星海三站,大连,121.56388889,38.885,辽宁
1112A,青泥洼桥,大连,121.63305556,38.911944444,辽宁
1113A,傅家庄,大连,121.625,38.863888889,辽宁
1114A,七贤岭,大连,121.51805556,38.856111111,辽宁
1115A,旅顺,大连,121.25888889,38.808055556,辽宁
1116A,金州,大连,121.7481,39.1311,辽宁
1117A,开发区,大连,121.7769,39.0511,辽宁
1118A,双D港,大连,121.9769,39.0631,辽宁
1119A,食品厂,长春,125.323,43.9167,吉林
1120A,客车厂,长春,125.287,43.91,吉林
1121A,邮电学院,长春,125.2786,43.8400,吉林
1122A,劳动公园,长春,125.3649,43.8748,吉林
1123A,园林处,长春,125.325,43.8694,吉林
1124A,净月潭,长春,125.454,43.7878,吉林
1125A,甩湾子,长春,125.633,43.55,吉林
1126A,经开区环卫处,长春,125.417,43.8667,吉林
1127A,高新区管委会,长春,125.25,43.8167,吉林
1128A,岱山公园,长春,125.217,43.85,吉林
1129A,岭北(对照点),哈尔滨,126.542,45.755,黑龙江
1130A,松北商大,哈尔滨,126.561,45.8167,黑龙江
1131A,阿城会宁,哈尔滨,126.979,45.5422,黑龙江
1132A,南岗学府路,哈尔滨,126.599,45.7222,黑龙江
1133A,太平宏伟公园,哈尔滨,126.689,45.7733,黑龙江
1134A,道外承德广场,哈尔滨,126.635,45.7667,黑龙江
1135A,香坊红旗大街,哈尔滨,126.685,45.7319,黑龙江
1136A,动力和平路,哈尔滨,126.646,45.7258,黑龙江
1137A,道里建国路,哈尔滨,126.593,45.7478,黑龙江
1138A,平房东轻厂,哈尔滨,126.615,45.61,黑龙江
1139A,呼兰师专,哈尔滨,126.6106,45.9819,黑龙江
1140A,省农科院,哈尔滨,126.6206,45.6842,黑龙江
1141A,普陀,上海,121.4,31.238,上海
1142A,十五厂,上海,121.478,31.2036,上海
1143A,虹口,上海,121.467,31.3008,上海
1144A,徐汇上师大,上海,121.412,31.1654,上海
1145A,杨浦四漂,上海,121.536,31.2659,上海
1146A,青浦淀山湖,上海,120.978,31.0935,上海
1147A,静安监测站,上海,121.425,31.2261,上海
1148A,浦东川沙,上海,121.703,31.1907,上海
1149A,浦东新区监测站,上海,121.533,31.2284,上海
1150A,浦东张江,上海,121.577,31.2071,上海
1151A,迈皋桥,南京,118.803,32.1083,江苏
1152A,草场门,南京,118.749,32.0572,江苏
1153A,山西路,南京,118.7780,32.0723,江苏
1154A,中华门,南京,118.777,32.0144,江苏
1155A,瑞金路,南京,118.803,32.0314,江苏
1156A,玄武湖,南京,118.795,32.0775,江苏
1157A,浦口,南京,118.626,32.0878,江苏
1158A,奥体中心,南京,118.737,32.0092,江苏
1159A,仙林大学城,南京,118.907,32.105,江苏
1160A,上方山,苏州,120.561,31.2472,江苏
1161A,南门,苏州,120.628,31.2864,江苏
1162A,彩香,苏州,120.591,31.3019,江苏
1163A,轧钢厂,苏州,120.596,31.3264,江苏
1164A,吴中区,苏州,120.613,31.2703,江苏
1165A,苏州新区,苏州,120.543,31.2994,江苏
1166A,苏州工业园区,苏州,120.669,31.3097,江苏
1167A,相城区,苏州,120.641,31.3708,江苏
1168A,南郊,南通,120.913,31.96,江苏
1169A,虹桥,南通,120.86,32.0005,江苏
1170A,城中,南通,120.87,32.02,江苏
1171A,星湖花园,南通,120.94,31.93,江苏
1172A,紫琅学院,南通,120.81,32.0417,江苏
1173A,市环境监测站,连云港,119.176,34.5885,江苏
1174A,洪门派出所,连云港,119.141,34.5896,江苏
1175A,墟沟核电专家村,连云港,119.368,34.7507,江苏
1176A,开发区恒瑞医药公司,连云港,119.348,34.6984,江苏
1177A,黄河新村,徐州,117.167,34.2761,江苏
1178A,淮塔,徐州,117.192,34.2417,江苏
1179A,铜山兽医院,徐州,117.192,34.3083,江苏
1180A,新城区,徐州,117.256,34.2153,江苏
1181A,桃园路,徐州,117.244,34.2911,江苏
1182A,农科院,徐州,117.2933,34.2778,江苏
1183A,铜山区环保局,徐州,117.166,34.1806,江苏
1184A,城东财政所(停运180626),扬州,119.46,32.3878,江苏
1185A,市监测站（181220停用）,扬州,119.404,32.41,江苏
1186A,邗江监测站,扬州,119.389,32.3761,江苏
1187A,第四医院(停运161107),扬州,119.439,32.4033,江苏
1188A,雪浪,无锡,120.269,31.4867,江苏
1189A,黄巷,无锡,120.275,31.6219,江苏
1190A,曹张,无锡,120.294,31.56,江苏
1191A,漆塘,无锡,120.242,31.5031,江苏
1192A,东亭,无锡,120.354,31.5848,江苏
1193A,旺庄,无锡,120.354,31.5475,江苏
1194A,荣巷,无锡,120.245,31.5631,江苏
1195A,堰桥,无锡,120.288,31.6842,江苏
1196A,市监测站,常州,119.996,31.7586,江苏
1197A,城建学校(停运161026),常州,119.933,31.7786,江苏
1198A,常工院(停运161026),常州,119.962,31.8089,江苏
1199A,潞城(停运161026),常州,120.0393,31.7638,江苏
1200A,武进监测站,常州,119.935,31.7039,江苏
1201A,安家,常州,119.9167,31.9017,江苏
1202A,环境监测站,镇江,,,江苏
1203A,新区办事处,镇江,119.68,32.1883,江苏
1204A,职教中心,镇江,119.491,32.215,江苏
1205A,丹徒区监测站,镇江,119.43,32.1319,江苏
1206A,公园路,泰州,119.9,32.4867,江苏
1207A,莲花,泰州,119.9219,32.4611,江苏
1208A,高港区政府,泰州,119.882,32.303,江苏
1209A,留学生创业园,泰州,119.888,32.4639,江苏
1210A,钵池山,淮安,119.036,33.5981,江苏
1211A,北京南路,淮安,119.007,33.575,江苏
1212A,市监测站,淮安,118.989,33.6067,江苏
1213A,楚州区监测站,淮安,119.135,33.5039,江苏
1214A,淮阴区监测站,淮安,119.0186,33.6297,江苏
1215A,盐城电厂,盐城,120.118,33.4022,江苏
1216A,市监测站,盐城,120.156,33.3942,江苏
1217A,文峰中学,盐城,120.129,33.3719,江苏
1218A,开发区管委会,盐城,120.225,33.3947,江苏
1219A,市监测站(停运161107),宿迁,118.2658,33.9600,江苏
1220A,宿迁学院,宿迁,118.293,33.9528,江苏
1221A,宿迁中学,宿迁,118.2442,33.9592,江苏
1222A,宿豫区环保局(181206停用),宿迁,118.3214,33.9506,江苏
1223A,滨江,杭州,120.211,30.21,浙江
1224A,西溪,杭州,120.063,30.2747,浙江
1225A,千岛湖,杭州,119.026,29.635,浙江
1226A,下沙,杭州,120.348,30.3058,浙江
1227A,卧龙桥,杭州,120.127,30.2456,浙江
1228A,浙江农大,杭州,120.19,30.2692,浙江
1229A,朝晖五区,杭州,120.157,30.2897,浙江
1230A,和睦小学,杭州,120.12,30.3119,浙江
1231A,临平镇,杭州,120.301,30.4183,浙江
1232A,城厢镇,杭州,120.27,30.1819,浙江
1233A,云栖,杭州,120.088,30.1808,浙江
1234A,区环保大楼,宁波,121.836,29.9108,浙江
1235A,万里学院,宁波,121.56,29.8208,浙江
1236A,龙赛医院,宁波,121.713,29.9572,浙江
1237A,三江中学,宁波,121.554,29.8906,浙江
1238A,市政管理站,宁波,,,浙江
1239A,钱湖水厂,宁波,121.633,29.7736,浙江
1240A,太古小学,宁波,121.586,29.8633,浙江
1241A,市环境监测中心,宁波,121.524,29.8506,浙江
1242A,瓯海,温州,120.634,28.0089,浙江
1243A,南浦,温州,120.677,27.9939,浙江
1244A,龙湾,温州,120.76,27.9747,浙江
1245A,市站,温州,120.671,28.0167,浙江
1246A,袍江站,绍兴,120.598,30.0911,浙江
1247A,城东开发委,绍兴,120.605,29.9919,浙江
1248A,市环保站,绍兴,120.576,30.007,浙江
1249A,城北水厂,湖州,120.1,30.8867,浙江
1250A,城西水厂,湖州,120.07,30.8244,浙江
1251A,吉山新村,湖州,120.093,30.8617,浙江
1252A,清河小学,嘉兴,120.744,30.7946,浙江
1253A,嘉兴学院,嘉兴,120.726,30.7478,浙江
1254A,监测站,嘉兴,,,浙江
1255A,黄岩环保大楼,台州,121.273,28.6459,浙江
1256A,台州环保大楼,台州,121.419,28.6542,浙江
1257A,路桥田洋王,台州,121.377,28.5773,浙江
1258A,定海檀枫,舟山,122.122,30.0203,浙江
1259A,普陀东港,舟山,122.3094,29.9558,浙江
1260A,临城新区,舟山,122.19,29.9944,浙江
1261A,四中,金华,119.649,29.1131,浙江
1262A,十五中,金华,119.647,29.077,浙江
1263A,监测站,金华,119.686,29.1029,浙江
1264A,环保大楼,衢州,118.871,28.9404,浙江
1265A,实验学校,衢州,118.871,28.9664,浙江
1266A,衢州学院,衢州,118.855,28.9745,浙江
1267A,监测站大楼,丽水,119.914,28.4514,浙江
1268A,莲都小学,丽水,119.93,28.4586,浙江
1269A,余庄前,丽水,119.879,28.4231,浙江
1270A,明珠广场,合肥,117.196,31.7848,安徽
1271A,三里街,合肥,117.307,31.8766,安徽
1272A,琥珀山庄,合肥,117.259,31.8706,安徽
1273A,董铺水库,合肥,117.16,31.9051,安徽
1274A,长江中路,合肥,117.25,31.8572,安徽
1275A,庐阳区,合肥,117.266,31.9438,安徽
1276A,瑶海区,合肥,117.336,31.8585,安徽
1277A,包河区,合肥,117.302,31.7956,安徽
1278A,滨湖新区,合肥,117.278,31.7386,安徽
1279A,高新区,合肥,117.124,31.8516,安徽
1280A,鼓山,福州,119.389,26.0542,福建
1281A,快安,福州,119.414,26.0258,福建
1282A,师大,福州,119.303,26.0392,福建
1283A,五四北路,福州,119.299,26.1092,福建
1284A,杨桥西路,福州,119.268,26.0797,福建
1285A,紫阳,福州,119.315,26.0753,福建
1286A,溪东,厦门,118.15694444,24.818055556,福建
1287A,洪文,厦门,118.15138889,24.476666667,福建
1288A,鼓浪屿,厦门,118.06361111,24.445833333,福建
1290A,省外办,南昌,115.893,28.6844,江西
1291A,省林业公司,南昌,115.8886,28.6839,江西
1292A,林科所,南昌,115.813,28.7442,江西
1293A,京东镇政府,南昌,115.973,28.6969,江西
1294A,建工学校,南昌,115.852,28.6869,江西
1295A,象湖,南昌,115.892,28.6425,江西
1296A,武术学校,南昌,115.742,28.7994,江西
1297A,石化,南昌,115.912,28.6131,江西
1298A,省站,南昌,115.931,28.6844,江西
1299A,科干所,济南,116.988,36.6114,山东
1300A,农科所,济南,116.93,36.67,山东
1301A,开发区,济南,117.114,36.6739,山东
1302A,济南化工厂,济南,116.989,36.6872,山东
1303A,省种子仓库,济南,117.0684,36.6868,山东
1304A,机床二厂,济南,116.943,36.6489,山东
1305A,市监测站,济南,117.049,36.6622,山东
1306A,长清党校,济南,116.734,36.5336,山东
1307A,仰口,青岛,120.6659,36.2403,山东
1308A,李沧区子站,青岛,120.3905,36.1851,山东
1309A,市北区子站,青岛,120.3471,36.0699,山东
1310A,市南区东部子站,青岛,120.4134,36.0654,山东
1311A,四方区子站,青岛,120.3664,36.1032,山东
1312A,市南区西部子站,青岛,120.2992,36.0543,山东
1313A,崂山区子站,青岛,120.4587,36.0851,山东
1314A,黄岛区子站,青岛,120.1964,36.3083,山东
1315A,城阳区子站,青岛,120.4001,36.2403,山东
1316A,烟厂,郑州,113.6844,34.7622,河南
1317A,郑纺机,郑州,113.641,34.7745,河南
1318A,银行学校,郑州,113.675,34.8019,河南
1319A,供水公司,郑州,113.5640,34.8020,河南
1320A,经开区管委,郑州,113.727,34.7187,河南
1321A,四十七中,郑州,113.7340,34.7190,河南
1322A,市监测站,郑州,113.5991,34.7496,河南
1323A,河医大,郑州,113.6356,34.7538,河南
1324A,岗李水库(对照点),郑州,113.6113,34.9162,河南
1325A,东湖梨园,武汉,114.3672,30.5719,湖北
1326A,汉阳月湖,武汉,114.2511,30.5514,湖北
1327A,汉口花桥,武汉,114.2836,30.6197,湖北
1328A,武昌紫阳,武汉,114.3006,30.5494,湖北
1329A,青山钢花,武汉,114.4272,30.6103,湖北
1330A,沌口新区,武汉,114.1525,30.4753,湖北
1331A,汉口江滩,武汉,114.3008,30.5947,湖北
1332A,东湖高新,武汉,114.3894,30.4822,湖北
1333A,吴家山,武汉,114.2131,30.6414,湖北
1334A,沉湖七壕,武汉,113.8531,30.2997,湖北
1335A,经开区环保局,长沙,113.0833,28.2325,湖南
1336A,高开区环保局,长沙,112.8872,28.2189,湖南
1337A,马坡岭,长沙,113.0792,28.2053,湖南
1338A,湖南师范大学,长沙,112.9394,28.1900,湖南
1339A,雨花区环保局,长沙,112.9956,28.1442,湖南
1340A,伍家岭,长沙,112.9792,28.2597,湖南
1341A,火车新站,长沙,113.0014,28.1944,湖南
1342A,天心区环保局,长沙,112.9844,28.1178,湖南
1343A,湖南中医药大学,长沙,112.8908,28.1308,湖南
1344A,沙坪,长沙,112.9958,28.3586,湖南
1345A,广雅中学,广州,113.235,23.1422,广东
1346A,市五中,广州,113.261,23.105,广东
1347A,天河职幼,广州,,,广东
1348A,广东商学院,广州,113.348,23.0916,广东
1349A,市八十六中,广州,113.433,23.105,广东
1350A,番禺中学,广州,113.352,22.9477,广东
1351A,花都师范,广州,113.215,23.3917,广东
1352A,市监测站,广州,113.26,23.1331,广东
1353A,九龙镇镇龙,广州,113.568,23.2783,广东
1354A,麓湖,广州,113.281,23.1569,广东
1355A,帽峰山森林公园,广州,113.589,23.5538,广东
1356A,通心岭子站,深圳,114.1063,22.5545,广东
1357A,洪湖,深圳,114.117,22.5625,广东
1358A,华侨城,深圳,113.987,22.5417,广东
1359A,南海子站,深圳,113.9181,22.5171,广东
1360A,盐田,深圳,114.263,22.5908,广东
1361A,龙岗,深圳,114.24,22.7267,广东
1362A,西乡,深圳,113.891,22.5794,广东
1363A,南澳,深圳,114.494,22.5422,广东
1364A,葵涌,深圳,114.41,22.6342,广东
1365A,梅沙,深圳,114.297,22.5978,广东
1366A,观澜,深圳,114.085,22.75,广东
1367A,吉大,珠海,113.574,22.2611,广东
1368A,前山,珠海,113.495,22.2294,广东
1369A,唐家,珠海,113.628,22.4251,广东
1370A,斗门,珠海,113.299,22.2281,广东
1371A,湾梁,佛山,113.134,23.0048,广东
1372A,华材职中,佛山,113.105,23.0395,广东
1373A,南海气象局,佛山,113.144,23.0467,广东
1374A,顺德苏岗,佛山,113.292,22.8054,广东
1375A,容桂街道办,佛山,113.257,22.7629,广东
1376A,高明孔堂,佛山,112.844,22.8693,广东
1377A,三水监测站,佛山,112.885,23.1572,广东
1378A,三水云东海,佛山,112.863,23.1886,广东
1379A,华柏园,中山,113.3769,22.5211,广东
1380A,张溪,中山,113.3881,22.5497,广东
1381A,紫马岭,中山,113.4075,22.5111,广东
1382A,长江旅游区,中山,113.4411,22.4853,广东
1383A,北街,江门,113.104,22.6069,广东
1384A,西区,江门,113.074,22.5811,广东
1385A,圭峰西,江门,113.0219,22.5311,广东
1386A,东湖(对照点),江门,113.0819,22.5931,广东
1387A,东城主山,东莞,113.7819444,23.05361111,广东
1388A,南城元岭,东莞,113.7461111,23.02777778,广东
1389A,莞城梨川,东莞,113.7480556,23.06,广东
1390A,东城石井,东莞,113.7944444,23.01277778,广东
1391A,南城西平,东莞,113.7383333,22.96583333,广东
1392A,河南岸金山湖子站,惠州,114.4183,23.0528,广东
1393A,下埔横江三路子站,惠州,114.4053,23.0800,广东
1394A,江北云山西路子站,惠州,114.4103,23.1142,广东
1395A,惠阳区承修路船湖子站,惠州,114.3244,22.8172,广东
1396A,大亚湾管委会子站,惠州,114.5317,22.7422,广东
1397A,睦岗子站,肇庆,112.427,23.0706,广东
1398A,城中子站,肇庆,112.471,23.0528,广东
1399A,坑口子站,肇庆,112.565,23.1617,广东
1400A,七星岩子站,肇庆,112.4722,23.0786,广东
1401A,振宁花园,南宁,108.301,22.7875,广西
1402A,北湖,南宁,108.316,22.8561,广西
1403A,市监测站,南宁,108.321,22.8225,广西
1404A,大自然花园,南宁,108.383,22.805,广西
1405A,仙葫,南宁,108.439,22.7906,广西
1406A,区农职院,南宁,108.239,22.8464,广西
1407A,英华嘉园,南宁,108.328,22.735,广西
1408A,沙井镇街道办,南宁,108.244,22.7833,广西
1409A,东寨港,海口,110.576,19.9507,海南
1410A,海南大学,海口,110.3232,20.0574,海南
1411A,秀英海南医院,海口,110.283,20.0053,海南
1412A,海南师范大学,海口,110.338,19.9969,海南
1413A,龙华路环保局宿舍,海口,110.33,20.0356,海南
1414A,缙云山（对照点）,重庆,106.379,29.8272,重庆
1415A,高家花园(停运161118),重庆,106.46,29.5736,重庆
1416A,天生,重庆,106.424,29.8264,重庆
1417A,两路,重庆,106.626,29.7228,重庆
1418A,虎溪,重庆,106.296,29.5983,重庆
1419A,南坪,重庆,106.54,29.5186,重庆
1420A,唐家沱,重庆,106.65,29.6219,重庆
1421A,茶园,重庆,106.634,29.4892,重庆
1422A,白市驿,重庆,106.364,29.4822,重庆
1423A,解放碑(停运170928),重庆,106.571,29.5642,重庆
1424A,杨家坪(停运161118),重庆,106.512,29.5164,重庆
1425A,空港,重庆,106.617,29.7125,重庆
1426A,新山村,重庆,106.468,29.4892,重庆
1427A,礼嘉,重庆,106.562,29.6453,重庆
1428A,蔡家,重庆,106.452,29.709,重庆
1429A,鱼新街,重庆,106.513,29.389,重庆
1430A,南泉(停运161119),重庆,106.591,29.4272,重庆
1431A,金泉两河,成都,103.97275,30.72358333,四川
1432A,十里店,成都,104.176,30.6872,四川
1433A,三瓦窑,成都,104.079,30.5706,四川
1434A,沙河铺,成都,104.1113889,30.63,四川
1435A,梁家巷,成都,104.074,30.685,四川
1436A,草堂寺（已停运）,成都,104.026,30.6544,四川
1437A,君平街,成都,104.054,30.6578,四川
1438A,灵岩寺,成都,103.613,31.0283,四川
1439A,马鞍山,贵阳,106.6856,26.6029,贵州
1440A,市环保站,贵阳,106.6971,26.5689,贵州
1441A,鉴湖路,贵阳,106.6243,26.6266,贵州
1442A,燕子冲,贵阳,106.7487,26.6343,贵州
1443A,碧云窝,贵阳,106.6554,26.4364,贵州
1444A,中院村,贵阳,106.6948,26.5155,贵州
1445A,红边门,贵阳,106.7105,26.6009,贵州
1446A,新华路,贵阳,106.7164,26.5697,贵州
1447A,太慈桥,贵阳,106.6867,26.5495,贵州
1449A,关上（180930停用）,昆明,102.743,25.0124,云南
1450A,呈贡新区,昆明,102.821,24.8885,云南
1451A,西山森林公园(对照点),昆明,102.625,24.9624,云南
1452A,龙泉镇,昆明,102.728,25.0836,云南
1453A,东风东路,昆明,102.722,25.0405,云南
1454A,金鼎山,昆明,102.681,25.067,云南
1455A,碧鸡广场,昆明,102.638,25.0359,云南
1456A,八廓街,拉萨,91.1319,29.6514,西藏
1457A,市环保局,拉萨,91.1221,29.6747,西藏
1458A,区监测站,拉萨,91.0874,29.6475,西藏
1459A,西藏大学,拉萨,91.1774,29.6541,西藏
1460A,区辐射站,拉萨,90.9798,29.6588,西藏
1461A,拉萨火车站,拉萨,91.0834,29.6292,西藏
1462A,高压开关厂,西安,108.882,34.2749,陕西
1463A,兴庆小区,西安,108.993,34.2629,陕西
1464A,纺织城,西安,109.06,34.2572,陕西
1465A,小寨,西安,108.94,34.2324,陕西
1466A,市人民体育场,西安,108.954,34.2713,陕西
1467A,高新西区,西安,108.883,34.2303,陕西
1468A,经开区,西安,108.935,34.3474,陕西
1469A,长安区,西安,108.906,34.1546,陕西
1470A,阎良区,西安,109.2,34.6575,陕西
1471A,临潼区,西安,109.2186,34.3731,陕西
1472A,草滩,西安,108.8690,34.3780,陕西
1473A,曲江文化产业集团,西安,108.985,34.1978,陕西
1474A,广运潭,西安,109.043,34.3274,陕西
1475A,职工医院（20181115停运）,兰州,103.7222,36.0812,甘肃
1476A,兰炼宾馆,兰州,103.631,36.1031,甘肃
1477A,榆中兰大校区(对照点),兰州,104.148,35.940,甘肃
1478A,生物制品所,兰州,103.841,36.0725,甘肃
1479A,铁路设计院,兰州,103.831,36.0464,甘肃
1480A,市环境监测站,西宁,101.748,36.6428,青海
1481A,省医药仓库,西宁,101.749,36.6922,青海
1482A,四陆医院,西宁,101.834,36.5819,青海
1483A,第五水厂,西宁,101.524,36.6867,青海
1484A,贺兰山马莲口,银川,105.9512,38.6016,宁夏
1485A,银湖巷,银川,106.2682,38.4744,宁夏
1486A,宁安大街,银川,106.217,38.4536,宁夏
1487A,宁化生活区,银川,106.0715,38.4858,宁夏
1488A,贺兰山东路,银川,106.2328,38.4975,宁夏
1489A,学院路,银川,106.1358,38.5036,宁夏
1490A,监测站,乌鲁木齐,87.5801,43.8303,新疆
1491A,收费所,乌鲁木齐,87.6046,43.768,新疆
1492A,新疆农科院农场,乌鲁木齐,87.4754,43.9469,新疆
1493A,铁路局,乌鲁木齐,87.5525,43.8711,新疆
1494A,三十一中学,乌鲁木齐,87.6432,43.831,新疆
1495A,七十四中学,乌鲁木齐,87.4171,43.8729,新疆
1496A,米东区环保局,乌鲁木齐,87.6444,43.962,新疆
1508A,板塘,湘潭,112.9433,27.8614,湖南
1511A,市监测站,湘潭,112.9118,27.8403,湖南
1512A,江麓,湘潭,112.8937,27.8728,湖南
1513A,岳塘,湘潭,112.9227,27.8159,湖南
1514A,科大,湘潭,112.9074,27.9119,湖南
1515A,天台山庄,株洲,113.135,27.8244,湖南
1518A,株冶医院,株洲,113.095,27.8867,湖南
1519A,市四中,株洲,113.167,27.8667,湖南
1520A,火车站,株洲,113.143,27.8381,湖南
1524A,市监测站,株洲,113.1300,27.8528,湖南
1552A,桐木岭,贵阳,106.805,26.3003,贵州
1559A,大京风景区,株洲,113.251,27.8336,湖南
1562A,昭山,湘潭,113.0048,27.9153,湖南
1564A,韶山,湘潭,112.4876,27.9164,湖南
1585A,市环境监测站,包头,109.8756,40.6532,内蒙古
1586A,包百大楼,包头,109.8104,40.6575,内蒙古
1587A,东河城环局,包头,110.0067,40.5905,内蒙古
1588A,青山宾馆,包头,109.8538,40.6821,内蒙古
1589A,惠龙物流,包头,109.8654,40.6288,内蒙古
1590A,东河鸿龙湾,包头,110.0377,40.5546,内蒙古
1591A,综合楼,鄂尔多斯,110.0023,39.8129,内蒙古
1592A,巴音孟克林场办事处,鄂尔多斯,109.9486,39.8261,内蒙古
