Date,State,Confirmed,Deaths,Recovered
2020-03-15,Haryana,14,0,0
2020-03-15,Jammu and Kashmir,2,0,0
2020-03-15,Karnataka,6,1,0
2020-03-15,Kerala,24,0,3
2020-03-15,Ladakh,3,0,0
2020-03-15,Maharashtra,32,0,0
2020-03-15,Punjab,1,0,0
2020-03-15,Rajasthan,4,0,0
2020-03-15,Telangana,3,0,0
2020-03-15,Tamil Nadu,1,0,0
2020-03-15,India,112,1,3
2020-03-15,Uttar Pradesh,13,0,0
2020-03-15,Uttarakhand,1,0,0
2020-03-16,Andhra Pradesh,1,0,0
2020-03-16,Delhi,7,0,0
2020-03-16,Himachal Pradesh,0,0,0
2020-03-16,Haryana,14,0,0
2020-03-16,Jammu and Kashmir,3,0,0
2020-03-16,Karnataka,7,1,0
2020-03-16,Kerala,27,0,3
2020-03-16,Ladakh,3,0,0
2020-03-16,Maharashtra,39,0,0
2020-03-16,Odisha,1,0,0
2020-03-16,Punjab,1,0,0
2020-03-16,Rajasthan,4,0,0
2020-03-16,Telangana,4,0,0
2020-03-16,Tamil Nadu,1,0,0
2020-03-16,India,126,1,3
2020-03-16,Uttar Pradesh,13,0,0
2020-03-16,Uttarakhand,1,0,0
2020-03-17,Andhra Pradesh,1,0,0
2020-03-17,Delhi,10,0,0
2020-03-17,Himachal Pradesh,0,0,0
2020-03-17,Haryana,15,0,0
2020-03-17,Jammu and Kashmir,3,0,0
2020-03-17,Karnataka,11,1,0
2020-03-17,Kerala,27,0,3
2020-03-17,Ladakh,8,0,0
2020-03-17,Maharashtra,41,0,0
2020-03-17,Odisha,1,0,0
2020-03-17,Punjab,1,0,0
2020-03-17,Puducherry,1,0,0
2020-03-17,Rajasthan,4,0,0
2020-03-17,Telangana,5,0,0
2020-03-17,Tamil Nadu,1,0,0
2020-03-17,India,146,1,3
2020-03-17,Uttar Pradesh,15,0,0
2020-03-17,Uttarakhand,1,0,0
2020-03-17,West Bengal,1,0,0
2020-03-18,Andhra Pradesh,1,0,0
2020-03-18,Delhi,11,0,0
2020-03-18,Himachal Pradesh,0,0,0
2020-03-18,Haryana,17,0,0
2020-03-18,Jammu and Kashmir,4,0,0
2020-03-18,Karnataka,14,1,0
2020-03-18,Kerala,27,0,3
2020-03-18,Ladakh,8,0,0
2020-03-18,Maharashtra,45,0,0
2020-03-18,Odisha,1,0,0
2020-03-18,Punjab,1,0,0
2020-03-18,Puducherry,1,0,0
2020-03-18,Rajasthan,7,0,0
2020-03-18,Telangana,13,0,0
2020-03-18,Tamil Nadu,2,0,0
2020-03-18,India,171,1,3
2020-03-18,Uttar Pradesh,17,0,0
2020-03-18,Uttarakhand,1,0,0
2020-03-18,West Bengal,1,0,0
2020-03-19,Andhra Pradesh,3,0,0
2020-03-19,Chandigarh,1,0,0
2020-03-19,Chhattisgarh,1,0,0
2020-03-19,Delhi,14,0,0
2020-03-19,Gujarat,2,0,0
2020-03-19,Himachal Pradesh,0,0,0
2020-03-19,Haryana,17,0,0
2020-03-19,Jammu and Kashmir,4,0,0
2020-03-19,Karnataka,15,1,0
2020-03-19,Kerala,28,0,3
2020-03-19,Ladakh,8,0,0
2020-03-19,Maharashtra,48,0,0
2020-03-19,Odisha,2,0,0
2020-03-19,Punjab,2,0,0
2020-03-19,Puducherry,1,0,0
2020-03-19,Rajasthan,9,0,0
2020-03-19,Telangana,16,0,0
2020-03-19,Tamil Nadu,3,0,0
2020-03-19,India,198,1,3
2020-03-19,Uttar Pradesh,20,0,0
2020-03-19,Uttarakhand,3,0,0
2020-03-19,West Bengal,1,0,0
2020-03-20,Andhra Pradesh,3,0,0
2020-03-20,Chandigarh,5,0,0
2020-03-20,Chhattisgarh,1,0,0
2020-03-20,Delhi,20,0,0
2020-03-20,Gujarat,7,0,0
2020-03-20,Himachal Pradesh,2,0,0
2020-03-20,Haryana,19,0,0
2020-03-20,Jammu and Kashmir,4,0,0
2020-03-20,Karnataka,15,1,1
2020-03-20,Kerala,40,0,3
2020-03-20,Ladakh,10,0,0
2020-03-20,Maharashtra,52,0,0
2020-03-20,Madhya Pradesh,4,0,0
2020-03-20,Odisha,2,0,0
2020-03-20,Punjab,3,0,0
2020-03-20,Puducherry,1,0,0
2020-03-20,Rajasthan,17,0,0
2020-03-20,Telangana,19,0,0
2020-03-20,Tamil Nadu,3,0,0
2020-03-20,India,256,1,4
2020-03-20,Uttar Pradesh,24,0,0
2020-03-20,Uttarakhand,3,0,0
2020-03-20,West Bengal,2,0,0
2020-03-21,Andhra Pradesh,5,0,0
2020-03-21,Chandigarh,5,0,0
2020-03-21,Chhattisgarh,1,0,0
2020-03-21,Delhi,27,0,0
2020-03-21,Gujarat,14,0,0
2020-03-21,Himachal Pradesh,2,0,0
2020-03-21,Haryana,21,0,0
2020-03-21,Jammu and Kashmir,4,0,0
2020-03-21,Karnataka,20,1,1
2020-03-21,Kerala,52,0,3
2020-03-21,Ladakh,13,0,0
2020-03-21,Maharashtra,64,0,0
2020-03-21,Madhya Pradesh,4,0,0
2020-03-21,Odisha,2,0,0
2020-03-21,Punjab,13,0,0
2020-03-21,Puducherry,1,0,0
2020-03-21,Rajasthan,24,0,0
2020-03-21,Telangana,21,0,0
2020-03-21,Tamil Nadu,6,0,0
2020-03-21,India,334,1,4
2020-03-21,Uttar Pradesh,28,0,0
2020-03-21,Uttarakhand,3,0,0
2020-03-21,West Bengal,4,0,0
2020-03-22,Andhra Pradesh,6,0,0
2020-03-22,Bihar,2,0,0
2020-03-22,Chandigarh,6,0,0
2020-03-22,Chhattisgarh,1,0,0
2020-03-22,Delhi,28,0,0
2020-03-22,Gujarat,18,0,0
2020-03-22,Himachal Pradesh,2,0,0
2020-03-22,Haryana,21,0,0
2020-03-22,Jammu and Kashmir,4,0,0
2020-03-22,Karnataka,26,1,1
2020-03-22,Kerala,67,0,3
2020-03-22,Ladakh,13,0,0
2020-03-22,Maharashtra,74,0,0
2020-03-22,Madhya Pradesh,6,0,0
2020-03-22,Odisha,2,0,0
2020-03-22,Punjab,21,0,0
2020-03-22,Puducherry,1,0,0
2020-03-22,Rajasthan,29,0,0
2020-03-22,Telangana,27,0,0
2020-03-22,Tamil Nadu,9,0,0
2020-03-22,India,403,1,4
2020-03-22,Uttar Pradesh,30,0,0
2020-03-22,Uttarakhand,3,0,0
2020-03-22,West Bengal,7,0,0
2020-03-23,Andhra Pradesh,7,0,0
2020-03-23,Bihar,3,0,0
2020-03-23,Chandigarh,7,0,0
2020-03-23,Chhattisgarh,1,0,0
2020-03-23,Delhi,30,0,0
2020-03-23,Gujarat,30,0,0
2020-03-23,Himachal Pradesh,3,0,0
2020-03-23,Haryana,28,0,0
2020-03-23,Jammu and Kashmir,4,0,0
2020-03-23,Karnataka,33,1,1
2020-03-23,Kerala,95,0,3
2020-03-23,Ladakh,13,0,0
2020-03-23,Maharashtra,89,0,0
2020-03-23,Madhya Pradesh,6,0,0
2020-03-23,Odisha,2,0,0
2020-03-23,Punjab,23,0,0
2020-03-23,Puducherry,1,0,0
2020-03-23,Rajasthan,32,0,0
2020-03-23,Telangana,33,0,0
2020-03-23,Tamil Nadu,12,0,0
2020-03-23,India,497,1,4
2020-03-23,Uttar Pradesh,34,0,0
2020-03-23,Uttarakhand,4,0,0
2020-03-23,West Bengal,7,0,0
2020-03-24,Andhra Pradesh,8,0,0
2020-03-24,Bihar,3,0,0
2020-03-24,Chandigarh,7,0,0
2020-03-24,Chhattisgarh,1,0,0
2020-03-24,Delhi,30,0,0
2020-03-24,Gujarat,36,0,0
2020-03-24,Himachal Pradesh,3,0,0
2020-03-24,Haryana,30,0,0
2020-03-24,Jammu and Kashmir,6,0,0
2020-03-24,Karnataka,41,1,3
2020-03-24,Kerala,109,0,3
2020-03-24,Ladakh,13,0,0
2020-03-24,Maharashtra,107,0,0
2020-03-24,Manipur,1,0,0
2020-03-24,Madhya Pradesh,7,0,0
2020-03-24,Odisha,2,0,0
2020-03-24,Punjab,29,0,0
2020-03-24,Puducherry,1,0,0
2020-03-24,Rajasthan,32,0,0
2020-03-24,Telangana,39,0,0
2020-03-24,Tamil Nadu,18,0,0
2020-03-24,India,571,1,6
2020-03-24,Uttar Pradesh,35,0,0
2020-03-24,Uttarakhand,4,0,0
2020-03-24,West Bengal,9,0,0
2020-03-25,Andhra Pradesh,10,0,0
2020-03-25,Bihar,4,0,0
2020-03-25,Chandigarh,7,0,0
2020-03-25,Chhattisgarh,3,0,0
2020-03-25,Delhi,35,0,0
2020-03-25,Goa,3,0,0
2020-03-25,Gujarat,38,0,0
2020-03-25,Himachal Pradesh,3,0,0
2020-03-25,Haryana,31,0,0
2020-03-25,Jammu and Kashmir,11,0,0
2020-03-25,Karnataka,51,1,3
2020-03-25,Kerala,118,0,3
2020-03-25,Ladakh,13,0,0
2020-03-25,Maharashtra,122,0,0
2020-03-25,Manipur,1,0,0
2020-03-25,Madhya Pradesh,15,0,0
2020-03-25,Mizoram,1,0,0
2020-03-25,Odisha,2,0,0
2020-03-25,Punjab,31,0,0
2020-03-25,Puducherry,1,0,0
2020-03-25,Rajasthan,38,0,0
2020-03-25,Telangana,41,0,0
2020-03-25,Tamil Nadu,26,0,0
2020-03-25,India,657,1,6
2020-03-25,Uttar Pradesh,38,0,0
2020-03-25,Uttarakhand,5,0,0
2020-03-25,West Bengal,9,0,0
2020-03-26,Andaman and Nicobar Islands,1,0,0
2020-03-26,Andhra Pradesh,11,0,0
2020-03-26,Bihar,7,0,0
2020-03-26,Chandigarh,7,0,0
2020-03-26,Chhattisgarh,6,0,0
2020-03-26,Delhi,39,0,0
2020-03-26,Goa,3,0,0
2020-03-26,Gujarat,44,0,0
2020-03-26,Himachal Pradesh,3,0,0
2020-03-26,Haryana,32,0,0
2020-03-26,Jammu and Kashmir,14,0,0
2020-03-26,Karnataka,55,2,3
2020-03-26,Kerala,137,0,3
2020-03-26,Ladakh,13,0,0
2020-03-26,Maharashtra,125,0,0
2020-03-26,Manipur,1,0,0
2020-03-26,Madhya Pradesh,20,0,0
2020-03-26,Mizoram,1,0,0
2020-03-26,Odisha,3,0,0
2020-03-26,Punjab,33,0,0
2020-03-26,Puducherry,1,0,0
2020-03-26,Rajasthan,43,0,0
2020-03-26,Telangana,45,0,0
2020-03-26,Tamil Nadu,29,0,0
2020-03-26,India,730,2,6
2020-03-26,Uttar Pradesh,42,0,0
2020-03-26,Uttarakhand,5,0,0
2020-03-26,West Bengal,10,0,0
2020-03-27,Andaman and Nicobar Islands,6,0,0
2020-03-27,Andhra Pradesh,13,0,0
2020-03-27,Bihar,9,0,0
2020-03-27,Chandigarh,8,0,0
2020-03-27,Chhattisgarh,6,0,0
2020-03-27,Delhi,40,0,0
2020-03-27,Goa,3,0,0
2020-03-27,Gujarat,47,0,0
2020-03-27,Himachal Pradesh,3,0,0
2020-03-27,Haryana,33,0,0
2020-03-27,Jammu and Kashmir,20,0,0
2020-03-27,Karnataka,64,3,5
2020-03-27,Kerala,176,0,3
2020-03-27,Ladakh,13,0,0
2020-03-27,Maharashtra,153,0,0
2020-03-27,Manipur,1,0,0
2020-03-27,Madhya Pradesh,29,0,0
2020-03-27,Mizoram,1,0,0
2020-03-27,Odisha,3,0,0
2020-03-27,Punjab,38,0,0
2020-03-27,Puducherry,1,0,0
2020-03-27,Rajasthan,50,0,0
2020-03-27,Telangana,59,0,0
2020-03-27,Tamil Nadu,38,0,0
2020-03-27,India,883,3,8
2020-03-27,Uttar Pradesh,49,0,0
2020-03-27,Uttarakhand,5,0,0
2020-03-27,West Bengal,15,0,0
2020-03-28,Andaman and Nicobar Islands,9,0,0
2020-03-28,Andhra Pradesh,19,0,0
2020-03-28,Bihar,11,0,0
2020-03-28,Chandigarh,8,0,0
2020-03-28,Chhattisgarh,7,0,0
2020-03-28,Delhi,49,0,0
2020-03-28,Goa,3,0,0
2020-03-28,Gujarat,55,0,0
2020-03-28,Himachal Pradesh,3,0,0
2020-03-28,Haryana,35,0,0
2020-03-28,Jammu and Kashmir,33,0,0
2020-03-28,Karnataka,76,3,5
2020-03-28,Kerala,182,0,3
2020-03-28,Ladakh,13,0,0
2020-03-28,Maharashtra,181,0,0
2020-03-28,Manipur,1,0,0
2020-03-28,Madhya Pradesh,39,0,0
2020-03-28,Mizoram,1,0,0
2020-03-28,Odisha,3,0,0
2020-03-28,Punjab,38,0,0
2020-03-28,Puducherry,1,0,0
2020-03-28,Rajasthan,54,0,0
2020-03-28,Telangana,67,0,0
2020-03-28,Tamil Nadu,42,0,0
2020-03-28,India,1019,3,8
2020-03-28,Uttar Pradesh,65,0,0
2020-03-28,Uttarakhand,6,0,0
2020-03-28,West Bengal,18,0,0
2020-03-29,Andaman and Nicobar Islands,9,0,0
2020-03-29,Andhra Pradesh,21,0,1
2020-03-29,Bihar,15,1,0
2020-03-29,Chandigarh,8,0,0
2020-03-29,Chhattisgarh,7,0,0
2020-03-29,Delhi,72,2,6
2020-03-29,Goa,5,0,0
2020-03-29,Gujarat,63,5,1
2020-03-29,Himachal Pradesh,3,1,1
2020-03-29,Haryana,35,0,14
2020-03-29,Jammu and Kashmir,38,1,1
2020-03-29,Karnataka,83,3,5
2020-03-29,Kerala,202,1,20
2020-03-29,Ladakh,13,0,3
2020-03-29,Maharashtra,203,8,25
2020-03-29,Manipur,1,0,0
2020-03-29,Madhya Pradesh,39,2,0
2020-03-29,Mizoram,1,0,0
2020-03-29,Odisha,3,0,0
2020-03-29,Punjab,38,1,1
2020-03-29,Puducherry,1,0,0
2020-03-29,Rajasthan,59,0,3
2020-03-29,Telangana,70,1,1
2020-03-29,Tamil Nadu,50,1,4
2020-03-29,India,1139,28,99
2020-03-29,Uttar Pradesh,72,0,11
2020-03-29,Uttarakhand,7,0,2
2020-03-29,West Bengal,21,1,0
2020-03-30,Andaman and Nicobar Islands,10,0,0
2020-03-30,Andhra Pradesh,23,0,1
2020-03-30,Bihar,15,1,0
2020-03-30,Chandigarh,13,0,0
2020-03-30,Chhattisgarh,8,0,0
2020-03-30,Delhi,97,2,6
2020-03-30,Goa,5,0,0
2020-03-30,Gujarat,70,6,3
2020-03-30,Himachal Pradesh,3,1,1
2020-03-30,Haryana,36,0,20
2020-03-30,Jammu and Kashmir,49,1,1
2020-03-30,Karnataka,88,3,6
2020-03-30,Kerala,234,1,20
2020-03-30,Ladakh,13,0,3
2020-03-30,Maharashtra,220,10,39
2020-03-30,Manipur,1,0,0
2020-03-30,Madhya Pradesh,47,4,0
2020-03-30,Mizoram,1,0,0
2020-03-30,Odisha,3,0,0
2020-03-30,Punjab,41,3,1
2020-03-30,Puducherry,1,0,0
2020-03-30,Rajasthan,79,0,3
2020-03-30,Telangana,77,6,14
2020-03-30,Tamil Nadu,67,1,4
2020-03-30,India,1326,41,141
2020-03-30,Uttar Pradesh,96,0,17
2020-03-30,Uttarakhand,7,0,2
2020-03-30,West Bengal,22,2,0
2020-03-31,Andaman and Nicobar Islands,10,0,0
2020-03-31,Andhra Pradesh,44,0,1
2020-03-31,Assam,1,0,0
2020-03-31,Bihar,21,1,0
2020-03-31,Chandigarh,15,0,0
2020-03-31,Chhattisgarh,9,0,2
2020-03-31,Delhi,120,2,6
2020-03-31,Goa,5,0,0
2020-03-31,Gujarat,74,6,5
2020-03-31,Himachal Pradesh,3,1,1
2020-03-31,Haryana,43,0,24
2020-03-31,Jharkhand,1,0,0
2020-03-31,Jammu and Kashmir,55,2,1
2020-03-31,Karnataka,101,3,8
2020-03-31,Kerala,241,2,24
2020-03-31,Ladakh,13,0,3
2020-03-31,Maharashtra,302,11,39
2020-03-31,Manipur,1,0,0
2020-03-31,Madhya Pradesh,66,5,0
2020-03-31,Mizoram,1,0,0
2020-03-31,Odisha,4,0,0
2020-03-31,Punjab,42,4,1
2020-03-31,Puducherry,1,0,0
2020-03-31,Rajasthan,93,0,3
2020-03-31,Telangana,97,6,14
2020-03-31,Tamil Nadu,124,1,6
2020-03-31,India,1635,47,160
2020-03-31,Uttar Pradesh,104,0,17
2020-03-31,Uttarakhand,7,0,2
2020-03-31,West Bengal,37,3,3
2020-04-01,Andaman and Nicobar Islands,10,0,0
2020-04-01,Andhra Pradesh,111,0,2
2020-04-01,Assam,16,0,0
2020-04-01,Bihar,24,1,0
2020-04-01,Chandigarh,17,0,0
2020-04-01,Chhattisgarh,9,0,2
2020-04-01,Delhi,152,2,6
2020-04-01,Goa,5,0,0
2020-04-01,Gujarat,87,6,5
2020-04-01,Himachal Pradesh,3,1,1
2020-04-01,Haryana,43,0,27
2020-04-01,Jharkhand,1,0,0
2020-04-01,Jammu and Kashmir,62,2,2
2020-04-01,Karnataka,110,3,9
2020-04-01,Kerala,265,2,26
2020-04-01,Ladakh,13,0,3
2020-04-01,Maharashtra,335,16,39
2020-04-01,Manipur,1,0,0
2020-04-01,Madhya Pradesh,98,6,0
2020-04-01,Mizoram,1,0,0
2020-04-01,Odisha,5,0,1
2020-04-01,Punjab,46,4,1
2020-04-01,Puducherry,3,0,0
2020-04-01,Rajasthan,120,0,3
2020-04-01,Telangana,127,9,14
2020-04-01,Tamil Nadu,234,1,6
2020-04-01,India,2059,58,169
2020-04-01,Uttar Pradesh,117,2,17
2020-04-01,Uttarakhand,7,0,2
2020-04-01,West Bengal,37,3,3
2020-04-02,Andaman and Nicobar Islands,10,0,0
2020-04-02,Andhra Pradesh,149,0,2
2020-04-02,Arunachal Pradesh,1,0,0
2020-04-02,Assam,16,0,0
2020-04-02,Bihar,29,1,3
2020-04-02,Chandigarh,18,0,0
2020-04-02,Chhattisgarh,9,0,3
2020-04-02,Delhi,293,4,8
2020-04-02,Goa,5,0,0
2020-04-02,Gujarat,88,7,10
2020-04-02,Himachal Pradesh,6,1,1
2020-04-02,Haryana,49,0,27
2020-04-02,Jharkhand,2,0,0
2020-04-02,Jammu and Kashmir,70,2,3
2020-04-02,Karnataka,124,3,11
2020-04-02,Kerala,286,2,28
2020-04-02,Ladakh,13,0,3
2020-04-02,Maharashtra,423,21,42
2020-04-02,Manipur,2,0,0
2020-04-02,Madhya Pradesh,107,8,0
2020-04-02,Mizoram,1,0,0
2020-04-02,Odisha,5,0,1
2020-04-02,Punjab,47,5,1
2020-04-02,Puducherry,5,0,0
2020-04-02,Rajasthan,133,0,3
2020-04-02,Telangana,154,9,17
2020-04-02,Tamil Nadu,309,1,6
2020-04-02,India,2545,69,191
2020-04-02,Uttar Pradesh,128,2,17
2020-04-02,Uttarakhand,10,0,2
2020-04-02,West Bengal,53,3,3
2020-04-03,Andaman and Nicobar Islands,10,0,0
2020-04-03,Andhra Pradesh,164,1,2
2020-04-03,Arunachal Pradesh,1,0,0
2020-04-03,Assam,23,0,0
2020-04-03,Bihar,31,1,3
2020-04-03,Chandigarh,18,0,0
2020-04-03,Chhattisgarh,9,0,3
2020-04-03,Delhi,386,6,8
2020-04-03,Goa,6,0,0
2020-04-03,Gujarat,95,9,10
2020-04-03,Himachal Pradesh,6,2,1
2020-04-03,Haryana,58,0,28
2020-04-03,Jharkhand,2,0,0
2020-04-03,Jammu and Kashmir,75,2,3
2020-04-03,Karnataka,128,4,11
2020-04-03,Kerala,295,2,42
2020-04-03,Ladakh,14,0,3
2020-04-03,Maharashtra,487,26,50
2020-04-03,Manipur,2,0,0
2020-04-03,Madhya Pradesh,154,8,0
2020-04-03,Mizoram,1,0,0
2020-04-03,Odisha,20,0,2
2020-04-03,Punjab,53,5,1
2020-04-03,Puducherry,5,0,0
2020-04-03,Rajasthan,179,0,3
2020-04-03,Telangana,229,11,32
2020-04-03,Tamil Nadu,411,1,6
2020-04-03,India,3105,83,230
2020-04-03,Uttar Pradesh,174,2,17
2020-04-03,Uttarakhand,16,0,2
2020-04-03,West Bengal,53,3,3
2020-04-04,Andaman and Nicobar Islands,10,0,0
2020-04-04,Andhra Pradesh,192,1,2
2020-04-04,Arunachal Pradesh,1,0,0
2020-04-04,Assam,26,0,0
2020-04-04,Bihar,32,1,3
2020-04-04,Chandigarh,18,0,3
2020-04-04,Chhattisgarh,10,0,3
2020-04-04,Delhi,445,6,16
2020-04-04,Goa,7,0,0
2020-04-04,Gujarat,108,10,13
2020-04-04,Himachal Pradesh,13,2,1
2020-04-04,Haryana,84,0,29
2020-04-04,Jharkhand,2,0,0
2020-04-04,Jammu and Kashmir,92,2,3
2020-04-04,Karnataka,144,4,11
2020-04-04,Kerala,306,2,50
2020-04-04,Ladakh,14,0,3
2020-04-04,Maharashtra,635,32,52
2020-04-04,Manipur,2,0,0
2020-04-04,Madhya Pradesh,179,11,0
2020-04-04,Mizoram,1,0,0
2020-04-04,Odisha,21,0,2
2020-04-04,Punjab,65,5,3
2020-04-04,Puducherry,5,0,0
2020-04-04,Rajasthan,206,1,25
2020-04-04,Telangana,272,11,33
2020-04-04,Tamil Nadu,485,3,8
2020-04-04,India,3684,96,286
2020-04-04,Uttar Pradesh,234,2,21
2020-04-04,Uttarakhand,22,0,2
2020-04-04,West Bengal,53,3,3
2020-04-05,Andaman and Nicobar Islands,10,0,0
2020-04-05,Andhra Pradesh,256,1,5
2020-04-05,Arunachal Pradesh,1,0,0
2020-04-05,Assam,26,0,0
2020-04-05,Bihar,32,1,3
2020-04-05,Chandigarh,18,0,5
2020-04-05,Chhattisgarh,10,0,8
2020-04-05,Delhi,503,7,16
2020-04-05,Goa,7,0,0
2020-04-05,Gujarat,128,11,21
2020-04-05,Himachal Pradesh,14,2,1
2020-04-05,Haryana,90,0,29
2020-04-05,Jharkhand,3,0,0
2020-04-05,Jammu and Kashmir,106,2,4
2020-04-05,Karnataka,151,4,12
2020-04-05,Kerala,314,2,56
2020-04-05,Ladakh,14,0,3
2020-04-05,Maharashtra,747,45,56
2020-04-05,Manipur,2,0,0
2020-04-05,Madhya Pradesh,193,13,3
2020-04-05,Mizoram,1,0,0
2020-04-05,Odisha,39,0,2
2020-04-05,Punjab,68,7,4
2020-04-05,Puducherry,5,0,0
2020-04-05,Rajasthan,266,1,25
2020-04-05,Telangana,334,11,33
2020-04-05,Tamil Nadu,571,5,8
2020-04-05,India,4293,118,329
2020-04-05,Uttar Pradesh,278,3,21
2020-04-05,Uttarakhand,26,0,4
2020-04-05,West Bengal,80,3,10
2020-04-06,Andaman and Nicobar Islands,10,0,0
2020-04-06,Andhra Pradesh,303,3,5
2020-04-06,Arunachal Pradesh,1,0,0
2020-04-06,Assam,26,0,0
2020-04-06,Bihar,32,1,9
